ward,precinct,office,district,party,candidate,votes
7,102,WARD SEVEN MEMBER OF THE COUNCIL,,,UNDER VOTES,65
7,102,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,278
7,102,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,409
7,102,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,623
7,102,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,19
7,102,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
7,102,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,296
7,102,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Dorothy Douglas,510
7,102,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Marla M. Dean,196
7,102,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Karen Williams,642
7,102,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,15
7,102,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,3
7,102,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,261
7,102,ANC - 7D05 SINGLE MEMBER DISTRICT 05-ANC 7D,,NON,Janis D. Hazel,302
7,102,ANC - 7D05 SINGLE MEMBER DISTRICT 05-ANC 7D,,NON,WRITE-IN,20
7,102,ANC - 7D05 SINGLE MEMBER DISTRICT 05-ANC 7D,,,OVER VOTES,1
7,102,ANC - 7D05 SINGLE MEMBER DISTRICT 05-ANC 7D,,,UNDER VOTES,116
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,NON,Gia Stancell,120
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,NON,Maria (Mafe) Jackson,213
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,NON,David Belt,91
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,NON,Tyrell M. Holcomb,325
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,NON,WRITE-IN,5
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,,OVER VOTES,2
7,102,ANC - 7F01 SINGLE MEMBER DISTRICT 01-ANC 7F,,,UNDER VOTES,111
7,102,ANC - 7F06 SINGLE MEMBER DISTRICT 06-ANC 7F,,NON,Carol E. Fletcher,244
7,102,ANC - 7F06 SINGLE MEMBER DISTRICT 06-ANC 7F,,NON,WRITE-IN,12
7,102,ANC - 7F06 SINGLE MEMBER DISTRICT 06-ANC 7F,,,OVER VOTES,0
7,102,ANC - 7F06 SINGLE MEMBER DISTRICT 06-ANC 7F,,,UNDER VOTES,65
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,9
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,23
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,41
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2282
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,26
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,5
7,103,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,8
7,103,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,41
7,103,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2226
7,103,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,49
7,103,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,5
7,103,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,2
7,103,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,71
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,63
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,240
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,170
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,88
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,368
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1976
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,15
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,6
7,103,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1862
7,103,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Gary Butler,162
7,103,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Christian Carter,121
7,103,WARD SEVEN MEMBER OF THE COUNCIL,,DEM,Vincent C. Gray,2007
7,103,WARD SEVEN MEMBER OF THE COUNCIL,,NON,WRITE-IN,15
7,103,WARD SEVEN MEMBER OF THE COUNCIL,,,OVER VOTES,4
7,103,WARD SEVEN MEMBER OF THE COUNCIL,,,UNDER VOTES,85
7,103,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,385
7,103,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,580
7,103,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,1010
7,103,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,18
7,103,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,6
7,103,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,395
7,103,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Dorothy Douglas,783
7,103,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Marla M. Dean,251
7,103,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Karen Williams,985
7,103,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,10
7,103,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,4
7,103,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,361
7,103,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,NON,Myron Smith,52
7,103,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,NON,"Takiyah ""T.N."" Tate",51
7,103,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,NON,WRITE-IN,2
7,103,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,,OVER VOTES,0
7,103,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,,UNDER VOTES,18
7,103,ANC - 7F02 SINGLE MEMBER DISTRICT 02-ANC 7F,,NON,Terrance Hunter,833
7,103,ANC - 7F02 SINGLE MEMBER DISTRICT 02-ANC 7F,,NON,WRITE-IN,31
7,103,ANC - 7F02 SINGLE MEMBER DISTRICT 02-ANC 7F,,,OVER VOTES,0
7,103,ANC - 7F02 SINGLE MEMBER DISTRICT 02-ANC 7F,,,UNDER VOTES,250
7,103,ANC - 7F03 SINGLE MEMBER DISTRICT 03-ANC 7F,,NON,Angeleah Jamison,199
7,103,ANC - 7F03 SINGLE MEMBER DISTRICT 03-ANC 7F,,NON,Sheila M. Carson Carr,485
7,103,ANC - 7F03 SINGLE MEMBER DISTRICT 03-ANC 7F,,NON,WRITE-IN,10
7,103,ANC - 7F03 SINGLE MEMBER DISTRICT 03-ANC 7F,,,OVER VOTES,2
7,103,ANC - 7F03 SINGLE MEMBER DISTRICT 03-ANC 7F,,,UNDER VOTES,115
7,103,ANC - 7F05 SINGLE MEMBER DISTRICT 05-ANC 7F,,NON,Karen Settles,275
7,103,ANC - 7F05 SINGLE MEMBER DISTRICT 05-ANC 7F,,NON,WRITE-IN,7
7,103,ANC - 7F05 SINGLE MEMBER DISTRICT 05-ANC 7F,,,OVER VOTES,0
7,103,ANC - 7F05 SINGLE MEMBER DISTRICT 05-ANC 7F,,,UNDER VOTES,64
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,8
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,32
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,40
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1982
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,19
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,6
7,104,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,4
7,104,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,65
7,104,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1919
7,104,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,38
7,104,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,3
7,104,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,3
7,104,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,63
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,70
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,296
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,180
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,73
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,377
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1741
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,22
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,4
7,104,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1419
7,104,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Gary Butler,126
7,104,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Christian Carter,118
7,104,WARD SEVEN MEMBER OF THE COUNCIL,,DEM,Vincent C. Gray,1756
7,104,WARD SEVEN MEMBER OF THE COUNCIL,,NON,WRITE-IN,10
7,104,WARD SEVEN MEMBER OF THE COUNCIL,,,OVER VOTES,5
7,104,WARD SEVEN MEMBER OF THE COUNCIL,,,UNDER VOTES,76
7,104,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,345
7,104,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,542
7,104,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,891
7,104,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,27
7,104,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
7,104,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,284
7,104,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Dorothy Douglas,659
7,104,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Marla M. Dean,248
7,104,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Karen Williams,893
7,104,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,19
7,104,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,4
7,104,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,268
7,104,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,NON,Ebbon A. Allen,63
7,104,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,NON,WRITE-IN,6
7,104,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,,OVER VOTES,0
7,104,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,,UNDER VOTES,20
7,104,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,NON,Myron Smith,356
7,104,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,NON,"Takiyah ""T.N."" Tate",421
7,104,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,NON,WRITE-IN,15
7,104,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,,OVER VOTES,2
7,104,ANC - 7E04 SINGLE MEMBER DISTRICT 04-ANC 7E,,,UNDER VOTES,97
7,104,ANC - 7E05 SINGLE MEMBER DISTRICT 05-ANC 7E,,NON,Ashley Emerson,635
7,104,ANC - 7E05 SINGLE MEMBER DISTRICT 05-ANC 7E,,NON,WRITE-IN,35
7,104,ANC - 7E05 SINGLE MEMBER DISTRICT 05-ANC 7E,,,OVER VOTES,2
7,104,ANC - 7E05 SINGLE MEMBER DISTRICT 05-ANC 7E,,,UNDER VOTES,145
7,104,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,Dontrell A. Smith,82
7,104,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,LaKeshia Lloyd-Lee,65
7,104,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,Adrian J. Polite,36
7,104,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,WRITE-IN,1
7,104,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,,OVER VOTES,0
7,104,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,,UNDER VOTES,28
7,104,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,NON,La Shawn Scott,31
7,104,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,NON,Linda M. Holmes,42
7,104,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,NON,WRITE-IN,2
7,104,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,,OVER VOTES,0
7,104,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,,UNDER VOTES,7
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,9
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,19
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,18
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1600
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,19
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
7,105,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,6
7,105,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,36
7,105,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1556
7,105,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,33
7,105,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,6
7,105,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
7,105,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,41
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,59
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,192
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,123
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,48
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,284
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1404
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,12
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
7,105,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1222
7,105,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Gary Butler,136
7,105,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Christian Carter,87
7,105,WARD SEVEN MEMBER OF THE COUNCIL,,DEM,Vincent C. Gray,1384
7,105,WARD SEVEN MEMBER OF THE COUNCIL,,NON,WRITE-IN,9
7,105,WARD SEVEN MEMBER OF THE COUNCIL,,,OVER VOTES,0
7,105,WARD SEVEN MEMBER OF THE COUNCIL,,,UNDER VOTES,56
7,105,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,274
7,105,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,414
7,105,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,736
7,105,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,17
7,105,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
7,105,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,231
7,105,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Dorothy Douglas,555
7,105,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Marla M. Dean,174
7,105,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Karen Williams,711
7,105,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,15
7,105,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
7,105,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,217
7,105,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,NON,Ebbon A. Allen,114
7,105,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,NON,WRITE-IN,10
7,105,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,,OVER VOTES,0
7,105,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,,UNDER VOTES,27
7,105,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,Dontrell A. Smith,306
7,105,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,LaKeshia Lloyd-Lee,258
7,105,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,Adrian J. Polite,94
7,105,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,NON,WRITE-IN,13
7,105,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,,OVER VOTES,0
7,105,ANC - 7E06 SINGLE MEMBER DISTRICT 06-ANC 7E,,,UNDER VOTES,51
7,105,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,NON,La Shawn Scott,299
7,105,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,NON,Linda M. Holmes,370
7,105,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,NON,WRITE-IN,42
7,105,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,,OVER VOTES,0
7,105,ANC - 7E07 SINGLE MEMBER DISTRICT 07-ANC 7E,,,UNDER VOTES,88
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,13
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,26
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,35
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1856
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,25
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,3
7,106,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,5
7,106,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,41
7,106,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1838
7,106,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,40
7,106,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,11
7,106,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
7,106,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,32
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,66
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,254
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,146
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,47
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,332
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1700
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,21
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
7,106,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1358
7,106,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Gary Butler,151
7,106,WARD SEVEN MEMBER OF THE COUNCIL,,IND,Christian Carter,95
7,106,WARD SEVEN MEMBER OF THE COUNCIL,,DEM,Vincent C. Gray,1651
7,106,WARD SEVEN MEMBER OF THE COUNCIL,,NON,WRITE-IN,18
7,106,WARD SEVEN MEMBER OF THE COUNCIL,,,OVER VOTES,1
7,106,WARD SEVEN MEMBER OF THE COUNCIL,,,UNDER VOTES,46
7,106,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,392
7,106,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,530
7,106,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,758
7,106,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,22
7,106,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,1
7,106,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,259
7,106,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Dorothy Douglas,768
7,106,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Marla M. Dean,202
7,106,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,Karen Williams,752
7,106,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,20
7,106,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,2
7,106,WARD SEVEN MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,218
7,106,ANC - 7E01 SINGLE MEMBER DISTRICT 01-ANC 7E,,NON,Diona Lane,373
7,106,ANC - 7E01 SINGLE MEMBER DISTRICT 01-ANC 7E,,NON,"Benjamin E. Thomas, Sr.",544
7,106,ANC - 7E01 SINGLE MEMBER DISTRICT 01-ANC 7E,,NON,WRITE-IN,22
7,106,ANC - 7E01 SINGLE MEMBER DISTRICT 01-ANC 7E,,,OVER VOTES,0
7,106,ANC - 7E01 SINGLE MEMBER DISTRICT 01-ANC 7E,,,UNDER VOTES,127
7,106,ANC - 7E02 SINGLE MEMBER DISTRICT 02-ANC 7E,,NON,Linda S. Green,311
7,106,ANC - 7E02 SINGLE MEMBER DISTRICT 02-ANC 7E,,NON,WRITE-IN,16
7,106,ANC - 7E02 SINGLE MEMBER DISTRICT 02-ANC 7E,,,OVER VOTES,1
7,106,ANC - 7E02 SINGLE MEMBER DISTRICT 02-ANC 7E,,,UNDER VOTES,52
7,106,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,NON,Ebbon A. Allen,425
7,106,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,NON,WRITE-IN,7
7,106,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,,OVER VOTES,0
7,106,ANC - 7E03 SINGLE MEMBER DISTRICT 03-ANC 7E,,,UNDER VOTES,84
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,8
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,12
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,10
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1136
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,8
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,3
7,107,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,3
7,107,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,27
7,107,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1098
7,107,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,25
7,107,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,5
7,107,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
7,107,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,25
