county,office,district,town,precinct,candidate,party,votes,state_election_id
Chittenden,Treasurer,,South Burlington,Chittenden 7-4,Write-ins,,1,82053
Grand Isle,Treasurer,,South Hero,,Write-ins,,2,82053
Windsor,Treasurer,,Springfield,Windsor 3-1,Write-ins,,0,82053
Windsor,Treasurer,,Springfield,Windsor 3-2,Write-ins,,8,82053
Franklin,Treasurer,,Saint Albans City,,Write-ins,,8,82053
Franklin,Treasurer,,Saint Albans Town,Franklin 3-1,Write-ins,,6,82053
Franklin,Treasurer,,Saint Albans Town,Franklin 3-2,Write-ins,,11,82053
Chittenden,Treasurer,,Saint George,,Write-ins,,0,82053
Caledonia,Treasurer,,Saint Johnsbury,,Write-ins,,6,82053
Bennington,Treasurer,,Stamford,,Write-ins,,0,82053
Caledonia,Treasurer,,Stannard,,Write-ins,,0,82053
Addison,Treasurer,,Starksboro,,Write-ins,,2,82053
Windsor,Treasurer,,Stockbridge,,Write-ins,,1,82053
Lamoille,Treasurer,,Stowe,,Write-ins,,7,82053
Orange,Treasurer,,Strafford,,Write-ins,,0,82053
Windham,Treasurer,,Stratton,,Write-ins,,0,82053
Rutland,Treasurer,,Sudbury,,Write-ins,,1,82053
Bennington,Treasurer,,Sunderland,Bennington 3,Write-ins,,0,82053
Bennington,Treasurer,,Sunderland,Bennington 4,Write-ins,,0,82053
Caledonia,Treasurer,,Sutton,,Write-ins,,0,82053
Franklin,Treasurer,,Swanton,,Write-ins,,14,82053
Orange,Treasurer,,Thetford,,Write-ins,,4,82053
Rutland,Treasurer,,Tinmouth,Rutland 2,Write-ins,,0,82053
Rutland,Treasurer,,Tinmouth,Rutland-Bennington,Write-ins,,1,82053
Orange,Treasurer,,Topsham,,Write-ins,,0,82053
Windham,Treasurer,,Townshend,,Write-ins,,2,82053
Orleans,Treasurer,,Troy,Orleans 2,Write-ins,,0,82053
Orleans,Treasurer,,Troy,Orleans-Lamoille,Write-ins,,0,82053
Orange,Treasurer,,Tunbridge,,Write-ins,,2,82053
Chittenden,Treasurer,,Underhill,,Write-ins,,2,82053
Addison,Treasurer,,Vergennes,,Write-ins,,1,82053
Windham,Treasurer,,Vernon,,Write-ins,,6,82053
Orange,Treasurer,,Vershire,,Write-ins,,0,82053
Essex,Treasurer,,Victory,,Write-ins,,0,82053
Washington,Treasurer,,Waitsfield,,Write-ins,,0,82053
Caledonia,Treasurer,,Walden,,Write-ins,,2,82053
Rutland,Treasurer,,Wallingford,,Write-ins,,7,82053
Addison,Treasurer,,Waltham,,Write-ins,,0,82053
Windham,Treasurer,,Wardsboro,,Write-ins,,0,82053
Washington,Treasurer,,Warren,,Write-ins,,1,82053
Orange,Treasurer,,Washington,,Write-ins,,1,82053
Washington,Treasurer,,Waterbury,,Write-ins,,7,82053
Caledonia,Treasurer,,Waterford,,Write-ins,,2,82053
Lamoille,Treasurer,,Waterville,,Write-ins,,1,82053
Windsor,Treasurer,,Weathersfield,,Write-ins,,0,82053
Rutland,Treasurer,,Wells,,Write-ins,,4,82053
Orange,Treasurer,,West Fairlee,,Write-ins,,0,82053
Rutland,Treasurer,,West Haven,,Write-ins,,0,82053
Rutland,Treasurer,,West Rutland,,Write-ins,,5,82053
Windsor,Treasurer,,West Windsor,,Write-ins,,2,82053
Orleans,Treasurer,,Westfield,,Write-ins,,0,82053
Chittenden,Treasurer,,Westford,,Write-ins,,1,82053
Windham,Treasurer,,Westminster,Windham 3,Write-ins,,1,82053
Windham,Treasurer,,Westminster,Windham 4,Write-ins,,0,82053
Orleans,Treasurer,,Westmore,,Write-ins,,1,82053
Windsor,Treasurer,,Weston,,Write-ins,,0,82053
Addison,Treasurer,,Weybridge,,Write-ins,,1,82053
Caledonia,Treasurer,,Wheelock,,Write-ins,,0,82053
Addison,Treasurer,,Whiting,,Write-ins,,0,82053
Windham,Treasurer,,Whitingham,Windham 6,Write-ins,,0,82053
Windham,Treasurer,,Whitingham,Windham-Bennington,Write-ins,,0,82053
Orange,Treasurer,,Williamstown,,Write-ins,,3,82053
Chittenden,Treasurer,,Williston,,Write-ins,,3,82053
Windham,Treasurer,,Wilmington,,Write-ins,,1,82053
Windham,Treasurer,,Windham,,Write-ins,,1,82053
Windsor,Treasurer,,Windsor,,Write-ins,,1,82053
Bennington,Treasurer,,Winhall,,Write-ins,,1,82053
Chittenden,Treasurer,,Winooski,,Write-ins,,3,82053
Lamoille,Treasurer,,Wolcott,,Write-ins,,5,82053
Washington,Treasurer,,Woodbury,,Write-ins,,0,82053
Bennington,Treasurer,,Woodford,,Write-ins,,1,82053
Windsor,Treasurer,,Woodstock,,Write-ins,,1,82053
Washington,Treasurer,,Worcester,,Write-ins,,1,82053
Addison,Treasurer,,Addison,,Blanks,,81,82053
Orleans,Treasurer,,Albany,,Blanks,,30,82053
Grand Isle,Treasurer,,Alburgh,,Blanks,,87,82053
Windsor,Treasurer,,Andover,,Blanks,,39,82053
Bennington,Treasurer,,Arlington,,Blanks,,127,82053
Windham,Treasurer,,Athens,,Blanks,,17,82053
Franklin,Treasurer,,Bakersfield,,Blanks,,55,82053
Windsor,Treasurer,,Baltimore,,Blanks,,8,82053
Windsor,Treasurer,,Barnard,,Blanks,,82,82053
Caledonia,Treasurer,,Barnet,,Blanks,,90,82053
Washington,Treasurer,,Barre City,,Blanks,,231,82053
Washington,Treasurer,,Barre Town,,Blanks,,312,82053
Orleans,Treasurer,,Barton,,Blanks,,115,82053
Lamoille,Treasurer,,Belvidere,,Blanks,,22,82053
Bennington,Treasurer,,Bennington,Bennington 2-1,Blanks,,413,82053
Bennington,Treasurer,,Bennington,Bennington 2-2,Blanks,,390,82053
Rutland,Treasurer,,Benson,,Blanks,,53,82053
Franklin,Treasurer,,Berkshire,,Blanks,,42,82053
Washington,Treasurer,,Berlin,,Blanks,,126,82053
Windsor,Treasurer,,Bethel,,Blanks,,109,82053
Essex,Treasurer,,Bloomfield,,Blanks,,9,82053
Chittenden,Treasurer,,Bolton,,Blanks,,61,82053
Orange,Treasurer,,Bradford,,Blanks,,128,82053
Orange,Treasurer,,Braintree,,Blanks,,58,82053
Rutland,Treasurer,,Brandon,,Blanks,,188,82053
Windham,Treasurer,,Brattleboro,Windham 2-1,Blanks,,279,82053
Windham,Treasurer,,Brattleboro,Windham 2-2,Blanks,,219,82053
Windham,Treasurer,,Brattleboro,Windham 2-3,Blanks,,251,82053
Windsor,Treasurer,,Bridgewater,,Blanks,,53,82053
Addison,Treasurer,,Bridport,,Blanks,,72,82053
Essex,Treasurer,,Brighton,,Blanks,,64,82053
Addison,Treasurer,,Bristol,,Blanks,,160,82053
Orange,Treasurer,,Brookfield,,Blanks,,64,82053
Windham,Treasurer,,Brookline,,Blanks,,45,82053
Orleans,Treasurer,,Brownington,,Blanks,,49,82053
Essex,Treasurer,,Brunswick,,Blanks,,9,82053
Caledonia,Treasurer,,Burke,,Blanks,,84,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-1,Blanks,,457,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-2,Blanks,,224,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-3,Blanks,,476,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-4,Blanks,,337,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-5,Blanks,,570,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-6,Blanks,,172,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-7,Blanks,,14,82053
Washington,Treasurer,,Cabot,,Blanks,,92,82053
Washington,Treasurer,,Calais,,Blanks,,101,82053
Lamoille,Treasurer,,Cambridge,,Blanks,,164,82053
Essex,Treasurer,,Canaan,,Blanks,,68,82053
Rutland,Treasurer,,Castleton,,Blanks,,204,82053
Windsor,Treasurer,,Cavendish,,Blanks,,95,82053
Orleans,Treasurer,,Charleston,,Blanks,,50,82053
Chittenden,Treasurer,,Charlotte,,Blanks,,375,82053
Orange,Treasurer,,Chelsea,,Blanks,,86,82053
Windsor,Treasurer,,Chester,,Blanks,,163,82053
Rutland,Treasurer,,Chittenden,,Blanks,,95,82053
Rutland,Treasurer,,Clarendon,,Blanks,,123,82053
Chittenden,Treasurer,,Colchester,Chittenden 9-1,Blanks,,396,82053
Chittenden,Treasurer,,Colchester,Chittenden 9-2,Blanks,,580,82053
Essex,Treasurer,,Concord,,Blanks,,67,82053
Orange,Treasurer,,Corinth,,Blanks,,75,82053
Addison,Treasurer,,Cornwall,,Blanks,,71,82053
Orleans,Treasurer,,Coventry,,Blanks,,55,82053
Orleans,Treasurer,,Craftsbury,,Blanks,,114,82053
Rutland,Treasurer,,Danby,,Blanks,,74,82053
Caledonia,Treasurer,,Danville,,Blanks,,134,82053
Orleans,Treasurer,,Derby,,Blanks,,246,82053
Bennington,Treasurer,,Dorset,,Blanks,,168,82053
Windham,Treasurer,,Dover,,Blanks,,104,82053
Windham,Treasurer,,Dummerston,,Blanks,,107,82053
Washington,Treasurer,,Duxbury,,Blanks,,94,82053
Essex,Treasurer,,East Haven,,Blanks,,15,82053
Washington,Treasurer,,East Montpelier,,Blanks,,130,82053
Lamoille,Treasurer,,Eden,,Blanks,,76,82053
Lamoille,Treasurer,,Elmore,,Blanks,,62,82053
Franklin,Treasurer,,Enosburgh,,Blanks,,94,82053
Chittenden,Treasurer,,Essex,Chittenden 8-1,Blanks,,514,82053
Chittenden,Treasurer,,Essex,Chittenden 8-2,Blanks,,568,82053
Chittenden,Treasurer,,Essex,Chittenden 8-3,Blanks,,147,82053
Rutland,Treasurer,,Fair Haven,,Blanks,,109,82053
Franklin,Treasurer,,Fairfax,,Blanks,,229,82053
Franklin,Treasurer,,Fairfield,,Blanks,,86,82053
Orange,Treasurer,,Fairlee,,Blanks,,59,82053
Washington,Treasurer,,Fayston,,Blanks,,95,82053
Addison,Treasurer,,Ferrisburgh,,Blanks,,153,82053
Franklin,Treasurer,,Fletcher,,Blanks,,63,82053
Franklin,Treasurer,,Franklin,,Blanks,,60,82053
Franklin,Treasurer,,Georgia,,Blanks,,248,82053
Orleans,Treasurer,,Glover,,Blanks,,53,82053
Addison,Treasurer,,Goshen,,Blanks,,10,82053
Windham,Treasurer,,Grafton,,Blanks,,65,82053
Essex,Treasurer,,Granby,,Blanks,,8,82053
Grand Isle,Treasurer,,Grand Isle,,Blanks,,106,82053
Addison,Treasurer,,Granville,,Blanks,,14,82053
Orleans,Treasurer,,Greensboro,,Blanks,,45,82053
Caledonia,Treasurer,,Groton,,Blanks,,66,82053
Essex,Treasurer,,Guildhall,,Blanks,,23,82053
Windham,Treasurer,,Guilford,,Blanks,,125,82053
Windham,Treasurer,,Halifax,,Blanks,,80,82053
Addison,Treasurer,,Hancock,,Blanks,,17,82053
Caledonia,Treasurer,,Hardwick,,Blanks,,147,82053
Windsor,Treasurer,,Hartford,Windsor 4-1,Blanks,,165,82053
Windsor,Treasurer,,Hartford,Windsor 4-2,Blanks,,407,82053
Windsor,Treasurer,,Hartland,,Blanks,,218,82053
Franklin,Treasurer,,Highgate,,Blanks,,104,82053
Chittenden,Treasurer,,Hinesburg,Chittenden 4-1,Blanks,,2,82053
Chittenden,Treasurer,,Hinesburg,Chittenden 4-2,Blanks,,319,82053
Orleans,Treasurer,,Holland,,Blanks,,41,82053
Rutland,Treasurer,,Hubbardton,,Blanks,,32,82053
Chittenden,Treasurer,,Huntington,,Blanks,,117,82053
Lamoille,Treasurer,,Hyde Park,,Blanks,,140,82053
Rutland,Treasurer,,Ira,,Blanks,,30,82053
Orleans,Treasurer,,Irasburg,,Blanks,,63,82053
Grand Isle,Treasurer,,Isle La Motte,,Blanks,,42,82053
Windham,Treasurer,,Jamaica,,Blanks,,58,82053
Orleans,Treasurer,,Jay,,Blanks,,30,82053
Chittenden,Treasurer,,Jericho,,Blanks,,374,82053
Lamoille,Treasurer,,Johnson,,Blanks,,144,82053
Rutland,Treasurer,,Killington,,Blanks,,83,82053
Caledonia,Treasurer,,Kirby,,Blanks,,25,82053
Bennington,Treasurer,,Landgrove,,Blanks,,13,82053
Addison,Treasurer,,Leicester,,Blanks,,60,82053
Essex,Treasurer,,Lemington,,Blanks,,5,82053
Addison,Treasurer,,Lincoln,,Blanks,,77,82053
Windham,Treasurer,,Londonderry,,Blanks,,119,82053
Orleans,Treasurer,,Lowell,,Blanks,,58,82053
Windsor,Treasurer,,Ludlow,,Blanks,,140,82053
Essex,Treasurer,,Lunenburg,,Blanks,,70,82053
Caledonia,Treasurer,,Lyndon,,Blanks,,211,82053
Essex,Treasurer,,Maidstone,,Blanks,,15,82053
Bennington,Treasurer,,Manchester,,Blanks,,375,82053
Windham,Treasurer,,Marlboro,,Blanks,,58,82053
Washington,Treasurer,,Marshfield,,Blanks,,94,82053
Rutland,Treasurer,,Mendon,,Blanks,,62,82053
Addison,Treasurer,,Middlebury,,Blanks,,420,82053
Washington,Treasurer,,Middlesex,,Blanks,,106,82053
Rutland,Treasurer,,Middletown Springs,,Blanks,,0,82053
Chittenden,Treasurer,,Milton,Chittenden 10,Blanks,,562,82053
Chittenden,Treasurer,,Milton,Grand Isle-Chittenden,Blanks,,102,82053
Addison,Treasurer,,Monkton,,Blanks,,136,82053
Franklin,Treasurer,,Montgomery,,Blanks,,77,82053
Washington,Treasurer,,Montpelier,,Blanks,,417,82053
Washington,Treasurer,,Moretown,,Blanks,,133,82053
Orleans,Treasurer,,Morgan,,Blanks,,35,82053
Lamoille,Treasurer,,Morristown,,Blanks,,283,82053
Rutland,Treasurer,,Mount Holly,,Blanks,,88,82053
Rutland,Treasurer,,Mount Tabor,,Blanks,,10,82053
Addison,Treasurer,,New Haven,,Blanks,,98,82053
Caledonia,Treasurer,,Newark,,Blanks,,47,82053
Orange,Treasurer,,Newbury,,Blanks,,115,82053
Windham,Treasurer,,Newfane,,Blanks,,124,82053
Orleans,Treasurer,,Newport City,,Blanks,,137,82053
Orleans,Treasurer,,Newport Town,,Blanks,,89,82053
Grand Isle,Treasurer,,North Hero,,Blanks,,46,82053
Washington,Treasurer,,Northfield,,Blanks,,246,82053
Essex,Treasurer,,Norton,,Blanks,,6,82053
Windsor,Treasurer,,Norwich,,Blanks,,285,82053
Orange,Treasurer,,Orange,,Blanks,,49,82053
Addison,Treasurer,,Orwell,,Blanks,,74,82053
Addison,Treasurer,,Panton,,Blanks,,24,82053
Rutland,Treasurer,,Pawlet,,Blanks,,84,82053
Caledonia,Treasurer,,Peacham,,Blanks,,44,82053
Bennington,Treasurer,,Peru,,Blanks,,32,82053
Rutland,Treasurer,,Pittsfield,,Blanks,,26,82053
Rutland,Treasurer,,Pittsford,,Blanks,,207,82053
Washington,Treasurer,,Plainfield,,Blanks,,69,82053
Windsor,Treasurer,,Plymouth,,Blanks,,63,82053
Windsor,Treasurer,,Pomfret,,Blanks,,42,82053
Rutland,Treasurer,,Poultney,,Blanks,,155,82053
Bennington,Treasurer,,Pownal,,Blanks,,216,82053
Rutland,Treasurer,,Proctor,,Blanks,,80,82053
Windham,Treasurer,,Putney,,Blanks,,161,82053
Orange,Treasurer,,Randolph,,Blanks,,256,82053
Windsor,Treasurer,,Reading,,Blanks,,48,82053
Bennington,Treasurer,,Readsboro,,Blanks,,65,82053
Franklin,Treasurer,,Richford,,Blanks,,66,82053
Chittenden,Treasurer,,Richmond,,Blanks,,294,82053
Addison,Treasurer,,Ripton,,Blanks,,36,82053
Windsor,Treasurer,,Rochester,,Blanks,,72,82053
Windham,Treasurer,,Rockingham,,Blanks,,272,82053
Washington,Treasurer,,Roxbury,,Blanks,,40,82053
Windsor,Treasurer,,Royalton,,Blanks,,156,82053
Bennington,Treasurer,,Rupert,,Blanks,,43,82053
Rutland,Treasurer,,Rutland City,Rutland 5-1,Blanks,,287,82053
Rutland,Treasurer,,Rutland City,Rutland 5-2,Blanks,,200,82053
Rutland,Treasurer,,Rutland City,Rutland 5-3,Blanks,,146,82053
Rutland,Treasurer,,Rutland City,Rutland 5-4,Blanks,,188,82053
Rutland,Treasurer,,Rutland Town,,Blanks,,257,82053
Caledonia,Treasurer,,Ryegate,,Blanks,,44,82053
Addison,Treasurer,,Salisbury,,Blanks,,54,82053
Bennington,Treasurer,,Sandgate,,Blanks,,32,82053
Bennington,Treasurer,,Searsburg,,Blanks,,8,82053
Bennington,Treasurer,,Shaftsbury,,Blanks,,234,82053
Windsor,Treasurer,,Sharon,,Blanks,,74,82053
Caledonia,Treasurer,,Sheffield,,Blanks,,36,82053
Chittenden,Treasurer,,Shelburne,Chittenden 5-1,Blanks,,362,82053
Chittenden,Treasurer,,Shelburne,Chittenden 5-2,Blanks,,260,82053
Franklin,Treasurer,,Sheldon,,Blanks,,52,82053
Addison,Treasurer,,Shoreham,,Blanks,,91,82053
Rutland,Treasurer,,Shrewsbury,,Blanks,,52,82053
Chittenden,Treasurer,,South Burlington,Chittenden 7-1,Blanks,,314,82053
Chittenden,Treasurer,,South Burlington,Chittenden 7-2,Blanks,,369,82053
Chittenden,Treasurer,,South Burlington,Chittenden 7-3,Blanks,,301,82053
Chittenden,Treasurer,,South Burlington,Chittenden 7-4,Blanks,,286,82053
Grand Isle,Treasurer,,South Hero,,Blanks,,118,82053
Windsor,Treasurer,,Springfield,Windsor 3-1,Blanks,,14,82053
Windsor,Treasurer,,Springfield,Windsor 3-2,Blanks,,363,82053
Franklin,Treasurer,,Saint Albans City,,Blanks,,189,82053
Franklin,Treasurer,,Saint Albans Town,Franklin 3-1,Blanks,,103,82053
Franklin,Treasurer,,Saint Albans Town,Franklin 3-2,Blanks,,206,82053
Chittenden,Treasurer,,Saint George,,Blanks,,45,82053
Caledonia,Treasurer,,Saint Johnsbury,,Blanks,,255,82053
Bennington,Treasurer,,Stamford,,Blanks,,89,82053
Caledonia,Treasurer,,Stannard,,Blanks,,15,82053
Addison,Treasurer,,Starksboro,,Blanks,,88,82053
Windsor,Treasurer,,Stockbridge,,Blanks,,39,82053
Lamoille,Treasurer,,Stowe,,Blanks,,395,82053
Orange,Treasurer,,Strafford,,Blanks,,77,82053
Windham,Treasurer,,Stratton,,Blanks,,13,82053
Rutland,Treasurer,,Sudbury,,Blanks,,34,82053
Bennington,Treasurer,,Sunderland,Bennington 3,Blanks,,19,82053
Bennington,Treasurer,,Sunderland,Bennington 4,Blanks,,62,82053
Caledonia,Treasurer,,Sutton,,Blanks,,52,82053
Franklin,Treasurer,,Swanton,,Blanks,,212,82053
Orange,Treasurer,,Thetford,,Blanks,,182,82053
Rutland,Treasurer,,Tinmouth,Rutland 2,Blanks,,4,82053
Rutland,Treasurer,,Tinmouth,Rutland-Bennington,Blanks,,15,82053
Orange,Treasurer,,Topsham,,Blanks,,71,82053
Windham,Treasurer,,Townshend,,Blanks,,91,82053
Orleans,Treasurer,,Troy,Orleans 2,Blanks,,13,82053
Orleans,Treasurer,,Troy,Orleans-Lamoille,Blanks,,50,82053
Orange,Treasurer,,Tunbridge,,Blanks,,75,82053
Chittenden,Treasurer,,Underhill,,Blanks,,250,82053
Addison,Treasurer,,Vergennes,,Blanks,,102,82053
Windham,Treasurer,,Vernon,,Blanks,,175,82053
Orange,Treasurer,,Vershire,,Blanks,,44,82053
Essex,Treasurer,,Victory,,Blanks,,19,82053
Washington,Treasurer,,Waitsfield,,Blanks,,139,82053
Caledonia,Treasurer,,Walden,,Blanks,,67,82053
Rutland,Treasurer,,Wallingford,,Blanks,,129,82053
Addison,Treasurer,,Waltham,,Blanks,,17,82053
Windham,Treasurer,,Wardsboro,,Blanks,,47,82053
Washington,Treasurer,,Warren,,Blanks,,129,82053
Orange,Treasurer,,Washington,,Blanks,,69,82053
Washington,Treasurer,,Waterbury,,Blanks,,348,82053
Caledonia,Treasurer,,Waterford,,Blanks,,76,82053
Lamoille,Treasurer,,Waterville,,Blanks,,55,82053
Windsor,Treasurer,,Weathersfield,,Blanks,,166,82053
Rutland,Treasurer,,Wells,,Blanks,,57,82053
Orange,Treasurer,,West Fairlee,,Blanks,,34,82053
Rutland,Treasurer,,West Haven,,Blanks,,10,82053
Rutland,Treasurer,,West Rutland,,Blanks,,78,82053
Windsor,Treasurer,,West Windsor,,Blanks,,87,82053
Orleans,Treasurer,,Westfield,,Blanks,,32,82053
Chittenden,Treasurer,,Westford,,Blanks,,173,82053
Windham,Treasurer,,Westminster,Windham 3,Blanks,,5,82053
Windham,Treasurer,,Westminster,Windham 4,Blanks,,161,82053
Orleans,Treasurer,,Westmore,,Blanks,,31,82053
Windsor,Treasurer,,Weston,,Blanks,,42,82053
Addison,Treasurer,,Weybridge,,Blanks,,50,82053
Caledonia,Treasurer,,Wheelock,,Blanks,,45,82053
Addison,Treasurer,,Whiting,,Blanks,,0,82053
Windham,Treasurer,,Whitingham,Windham 6,Blanks,,100,82053
Windham,Treasurer,,Whitingham,Windham-Bennington,Blanks,,2,82053
Orange,Treasurer,,Williamstown,,Blanks,,127,82053
Chittenden,Treasurer,,Williston,,Blanks,,727,82053
Windham,Treasurer,,Wilmington,,Blanks,,151,82053
Windham,Treasurer,,Windham,,Blanks,,32,82053
Windsor,Treasurer,,Windsor,,Blanks,,176,82053
Bennington,Treasurer,,Winhall,,Blanks,,81,82053
Chittenden,Treasurer,,Winooski,,Blanks,,391,82053
Lamoille,Treasurer,,Wolcott,,Blanks,,71,82053
Washington,Treasurer,,Woodbury,,Blanks,,55,82053
Bennington,Treasurer,,Woodford,,Blanks,,28,82053
Windsor,Treasurer,,Woodstock,,Blanks,,209,82053
Washington,Treasurer,,Worcester,,Blanks,,37,82053
Addison,Treasurer,,Addison,,Total Votes Cast,,788,82053
Orleans,Treasurer,,Albany,,Total Votes Cast,,459,82053
Grand Isle,Treasurer,,Alburgh,,Total Votes Cast,,906,82053
Windsor,Treasurer,,Andover,,Total Votes Cast,,335,82053
Bennington,Treasurer,,Arlington,,Total Votes Cast,,1292,82053
Windham,Treasurer,,Athens,,Total Votes Cast,,167,82053
Franklin,Treasurer,,Bakersfield,,Total Votes Cast,,605,82053
Windsor,Treasurer,,Baltimore,,Total Votes Cast,,129,82053
Windsor,Treasurer,,Barnard,,Total Votes Cast,,576,82053
Caledonia,Treasurer,,Barnet,,Total Votes Cast,,973,82053
Washington,Treasurer,,Barre City,,Total Votes Cast,,3290,82053
Washington,Treasurer,,Barre Town,,Total Votes Cast,,4290,82053
Orleans,Treasurer,,Barton,,Total Votes Cast,,1090,82053
Lamoille,Treasurer,,Belvidere,,Total Votes Cast,,162,82053
Bennington,Treasurer,,Bennington,Bennington 2-1,Total Votes Cast,,3122,82053
Bennington,Treasurer,,Bennington,Bennington 2-2,Total Votes Cast,,3049,82053
Rutland,Treasurer,,Benson,,Total Votes Cast,,512,82053
Franklin,Treasurer,,Berkshire,,Total Votes Cast,,618,82053
Washington,Treasurer,,Berlin,,Total Votes Cast,,1388,82053
Windsor,Treasurer,,Bethel,,Total Votes Cast,,1021,82053
Essex,Treasurer,,Bloomfield,,Total Votes Cast,,112,82053
Chittenden,Treasurer,,Bolton,,Total Votes Cast,,683,82053
Orange,Treasurer,,Bradford,,Total Votes Cast,,1221,82053
Orange,Treasurer,,Braintree,,Total Votes Cast,,605,82053
Rutland,Treasurer,,Brandon,,Total Votes Cast,,1904,82053
Windham,Treasurer,,Brattleboro,Windham 2-1,Total Votes Cast,,2168,82053
Windham,Treasurer,,Brattleboro,Windham 2-2,Total Votes Cast,,1885,82053
Windham,Treasurer,,Brattleboro,Windham 2-3,Total Votes Cast,,1952,82053
Windsor,Treasurer,,Bridgewater,,Total Votes Cast,,526,82053
Addison,Treasurer,,Bridport,,Total Votes Cast,,663,82053
Essex,Treasurer,,Brighton,,Total Votes Cast,,563,82053
Addison,Treasurer,,Bristol,,Total Votes Cast,,1952,82053
Orange,Treasurer,,Brookfield,,Total Votes Cast,,764,82053
Windham,Treasurer,,Brookline,,Total Votes Cast,,296,82053
Orleans,Treasurer,,Brownington,,Total Votes Cast,,400,82053
Essex,Treasurer,,Brunswick,,Total Votes Cast,,58,82053
Caledonia,Treasurer,,Burke,,Total Votes Cast,,833,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-1,Total Votes Cast,,4501,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-2,Total Votes Cast,,2316,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-3,Total Votes Cast,,3662,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-4,Total Votes Cast,,2431,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-5,Total Votes Cast,,4970,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-6,Total Votes Cast,,1125,82053
Chittenden,Treasurer,,Burlington,Chittenden 6-7,Total Votes Cast,,125,82053
Washington,Treasurer,,Cabot,,Total Votes Cast,,799,82053
Washington,Treasurer,,Calais,,Total Votes Cast,,1033,82053
Lamoille,Treasurer,,Cambridge,,Total Votes Cast,,1953,82053
Essex,Treasurer,,Canaan,,Total Votes Cast,,436,82053
Rutland,Treasurer,,Castleton,,Total Votes Cast,,1801,82053
Windsor,Treasurer,,Cavendish,,Total Votes Cast,,703,82053
Orleans,Treasurer,,Charleston,,Total Votes Cast,,471,82053
Chittenden,Treasurer,,Charlotte,,Total Votes Cast,,2623,82053
Orange,Treasurer,,Chelsea,,Total Votes Cast,,672,82053
Windsor,Treasurer,,Chester,,Total Votes Cast,,1565,82053
Rutland,Treasurer,,Chittenden,,Total Votes Cast,,767,82053
Rutland,Treasurer,,Clarendon,,Total Votes Cast,,1262,82053
Chittenden,Treasurer,,Colchester,Chittenden 9-1,Total Votes Cast,,3389,82053
Chittenden,Treasurer,,Colchester,Chittenden 9-2,Total Votes Cast,,4591,82053
Essex,Treasurer,,Concord,,Total Votes Cast,,577,82053
Orange,Treasurer,,Corinth,,Total Votes Cast,,688,82053
Addison,Treasurer,,Cornwall,,Total Votes Cast,,748,82053
Orleans,Treasurer,,Coventry,,Total Votes Cast,,517,82053
Orleans,Treasurer,,Craftsbury,,Total Votes Cast,,698,82053
Rutland,Treasurer,,Danby,,Total Votes Cast,,658,82053
Caledonia,Treasurer,,Danville,,Total Votes Cast,,1348,82053
Orleans,Treasurer,,Derby,,Total Votes Cast,,2226,82053
Bennington,Treasurer,,Dorset,,Total Votes Cast,,1209,82053
Windham,Treasurer,,Dover,,Total Votes Cast,,794,82053
Windham,Treasurer,,Dummerston,,Total Votes Cast,,1164,82053
Washington,Treasurer,,Duxbury,,Total Votes Cast,,799,82053
Essex,Treasurer,,East Haven,,Total Votes Cast,,149,82053
Washington,Treasurer,,East Montpelier,,Total Votes Cast,,1631,82053
Lamoille,Treasurer,,Eden,,Total Votes Cast,,568,82053
Lamoille,Treasurer,,Elmore,,Total Votes Cast,,552,82053
Franklin,Treasurer,,Enosburgh,,Total Votes Cast,,1221,82053
Chittenden,Treasurer,,Essex,Chittenden 8-1,Total Votes Cast,,4807,82053
Chittenden,Treasurer,,Essex,Chittenden 8-2,Total Votes Cast,,5123,82053
Chittenden,Treasurer,,Essex,Chittenden 8-3,Total Votes Cast,,1427,82053
Rutland,Treasurer,,Fair Haven,,Total Votes Cast,,1168,82053
Franklin,Treasurer,,Fairfax,,Total Votes Cast,,2431,82053
Franklin,Treasurer,,Fairfield,,Total Votes Cast,,961,82053
Orange,Treasurer,,Fairlee,,Total Votes Cast,,573,82053
Washington,Treasurer,,Fayston,,Total Votes Cast,,831,82053
Addison,Treasurer,,Ferrisburgh,,Total Votes Cast,,1635,82053
Franklin,Treasurer,,Fletcher,,Total Votes Cast,,709,82053
Franklin,Treasurer,,Franklin,,Total Votes Cast,,637,82053
Franklin,Treasurer,,Georgia,,Total Votes Cast,,2449,82053
Orleans,Treasurer,,Glover,,Total Votes Cast,,600,82053
Addison,Treasurer,,Goshen,,Total Votes Cast,,125,82053
Windham,Treasurer,,Grafton,,Total Votes Cast,,399,82053
